CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Atarraya,CPO-7,Llanos Orientales,TECPETROL COLOMBIA S.A.S.,Meta,863,844,906,724,618,543,977,1475,1689,1607,1449,1513
Aullador,Playón,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,0,0,64,120,180,232,177,302,55,0,0,0
Aureliano,Fortuna,Valle Medio del Magdalena,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Cesar,0,0,0,4,0,0,0,0,0,0,0,3
Austral,Suria,Llanos Orientales,ECOPETROL S.A.,Meta,4,0,0,0,0,0,0,0,0,1,1,0
Azor,Arrendajo,Llanos Orientales,PACIFIC STRATUS ENERGY,Casanare,1595,1370,1243,1127,1446,1342,1619,1488,1426,1403,1390,1378
Balay,El Balay,Llanos Orientales,PETROBRAS COLOMBIA LIMITED,Casanare,783,1385,1490,1462,1353,1050,1314,987,749,578,339,428
Balcón,Palermo,Valle Superior del Magdalena,HOCOL S.A.,Huila,1956,1923,1849,1744,1760,1702,1713,1652,1632,1450,1701,1695
Bandola,Llanos-32,Llanos Orientales,P1 ENERGY DELTA CORP.,Casanare,0,0,0,1797,2422,2299,1482,705,982,532,694,1010
Barquereña,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,220,198,180,157,287,291,336,332,376,369,301,395
Barrancas Lebrija,Barranca Lebrija CDND,Valle Medio del Magdalena,UNION TEMPORAL MOCAN S.A.S,Santander,12,10,11,11,10,11,11,10,9,11,9,10
Bastidas,Cravoviejo,Llanos Orientales,C&C ENERGÍA,Casanare,517,487,516,590,408,579,666,477,545,501,459,567
Baúl,Las Quinchas,Valle Medio del Magdalena,PACIFIC STRATUS ENERGY,Santander,0,0,32,51,49,44,40,38,35,33,31,31
