DEPARTAMENTO,CUENCA,EMPRESA,CONTRATO,CAMPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE
BOLIVAR,VALLE INFERIOR DEL MAGDALENA,ECOPETROL,CICUCO,CICUCO,540,535,530,534,548,554,530,531,532,511
BOLIVAR,VALLE INFERIOR DEL MAGDALENA,ECOPETROL,CICUCO,CICUCO,199,205,186,196,198,184,194,179,166,165
CASANARE,LLANOS ORIENTALES,GRUPO C&C ENERGÍA BARBADOS SUCURSAL COLOMBIA.,CIRIGUELO,CIRIGUELO,396,393,365,348,351,366,365,371,325,323
CASANARE,LLANOS ORIENTALES,HOCOL S.A.,CLARINERO,CLARINERO,0,0,2,0,0,0,0,0,0,0
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,COBRA,337,322,315,308,311,334,134,221,323,317
PUTUMAYO,PUTUMAYO,PETROTESTING  COLOMBIA S.A.,CPI SUR ORIENTE,COHEMBI,10706,11855,11813,10752,4315,9726,1618,334,5519,9881
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROLEOS DEL NORTE S.A,E&P LA PALOMA,COLON,304,365,374,375,328,350,255,311,322,272
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,COLORADO,0,0,0,0,1,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA,1129,961,1007,982,1024,1591,2367,3243,3246,3685
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA A NORTE,1139,1136,874,1116,1233,1089,1004,925,901,866
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA A SUR,960,916,852,838,910,1001,939,886,480,681
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA B,534,715,853,754,645,636,567,525,598,680
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA C,818,771,729,955,862,772,633,565,503,553
CASANARE,LLANOS ORIENTALES,ALANGE ENERGY CORP SUC COLOMBIA,E&E CUBIRO,COPA D,2464,2283,1816,2150,1888,1596,1565,1631,1294,1459
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON,47,36,55,56,50,48,45,43,41,49
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROSANTANDER (COLOMBIA) INC.,LAS MONAS,CORAZON WEST,243,244,253,257,258,270,268,269,250,230
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,CORCEL A,155,155,154,149,127,0,63,20,1,0
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,CORCEL C,789,794,777,735,736,677,735,737,708,678
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,CORCEL D,440,444,436,408,406,400,397,393,368,328
META,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CORCEL,CORCEL E,792,789,760,560,524,725,705,702,667,626
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,COROCORA,COREN,158,151,152,154,152,149,146,145,147,152
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,COROCORA,COROCORA,478,462,456,442,433,421,414,357,353,364
BOYACA,CORDILLERA ORIENTAL,UNION TEMPORAL OMEGA ENERGY,BUENAVISTA,CORRALES,2037,1970,2100,1915,1733,1592,1468,1369,1272,1186
PUTUMAYO,PUTUMAYO,GRAN TIERRA ENERGY COLOMBIA LTD,CHAZA,COSTAYACO,17736,16911,16697,17503,16401,17900,17368,16730,15395,14204
MAGDALENA,VALLE INFERIOR DEL MAGDALENA,PACIFIC STRATUS ENERGY,E&P Guama,COTORRA,0,0,0,0,0,0,0,0,0,0
CASANARE,LLANOS ORIENTALES,PERENCO COLOMBIA LIMITED,CASANARE,CRAVO ESTE,428,430,418,402,392,385,365,372,347,341
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,CRISTALINA,CRISTALINA,145,138,138,125,132,129,112,96,1,96
CASANARE,LLANOS ORIENTALES,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA ESTE,27,26,23,22,21,21,22,19,16,18
CASANARE,LLANOS ORIENTALES,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA NORESTE,160,166,155,133,123,122,117,111,100,106
CASANARE,LLANOS ORIENTALES,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA OESTE,1135,1083,1054,1036,1046,1054,1050,982,931,937
CASANARE,LLANOS ORIENTALES,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA SUR,259,251,231,222,196,184,185,183,165,155
CASANARE,LLANOS ORIENTALES,Geopark Cuerva Sucursal Colombia LL (HUPECOL LL CARACARA),CUERVA,CUERVA SUROESTE,47,45,0,0,0,22,70,71,66,36
CASANARE,LLANOS ORIENTALES,PAREX RESOURCES COLOMBIA LTD,E&p Llanos-20 Contrato No. 46,CUMBRE,268,251,231,195,177,242,194,188,344,210
CASANARE,LLANOS ORIENTALES,ECOPETROL LLANOS,ECOP-SDLA-OP-DIRECTA-INCREMENTAL,CUPIAGUA,10805,10639,10443,9560,10261,10403,10672,10678,10474,10336
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,RECETOR EQUION,CUPIAGUA LIRIA,4258,4212,3984,3528,4226,4188,3305,3882,4195,4388
CASANARE,LLANOS ORIENTALES,ECOPETROL LLANOS,ECOP-SDLA-OP-DIRECTA,CUPIAGUA SUR,5916,6605,6439,6053,6002,5734,5631,5369,5200,5217
CASANARE,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,EL PORTON,CURIARA,0,0,0,195,285,341,471,552,105,0
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CASANARE ESTE,CURITO,4399,4174,3396,3017,2552,2120,1815,1522,1325,1180
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,CASANARE ESTE,CURITO,3456,3279,2669,2371,2005,1666,1428,1197,1042,927
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,RIO CHITAMENA EQUION  / TAURAMENA EQUION,CUSIANA,5891,5650,5686,5425,5368,5422,5035,5502,6261,5547
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,CUSIANA NORTE,CUSIANA NORTE,5095,5189,5254,5296,5067,4815,4940,4634,4253,4257
META,LLANOS ORIENTALES,ECOPETROL,CPO-10,CUSUCO,0,0,0,0,0,18,105,97,97,97
TOLIMA,VALLE SUPERIOR DEL MAGDALENA,KAPPA RESOURCES COLOMBIA LTD.,BUGANVILES,DELTA,9,7,6,7,0,0,0,0,0,0
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA,DINA CRETACEO,579,643,607,567,540,540,567,584,740,603
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL ALTO MAGDALENA,ALTO MAGDALENA Incremental,DINA TERCIARIO,5140,5405,5455,5470,5228,5444,5383,5402,5287,5066
CASANARE,LLANOS ORIENTALES,PETROMINERALES COLOMBIA LTD,MAPACHE,DISA,0,0,0,0,340,464,0,129,106,106
CESAR,CESAR - RANCHERÍA,ECOPETROL,OPERACION DIRECTA - LEBRIJA,DOÑA MARIA,0,0,0,0,0,0,25,31,31,31
CESAR,CESAR - RANCHERÍA,PETROLEOS DEL NORTE S.A,LEBRIJA,DOÑA MARIA,29,19,14,34,31,32,0,0,0,0
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),DOROTEA,DOROTEA A,4,4,4,3,3,3,3,1,1,1
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),DOROTEA,DOROTEA B,6987,6312,5976,5941,6898,7865,7194,7366,6763,6650
CASANARE,LLANOS ORIENTALES,NEW GRANADA ENERGY CORPORATION (HUPECOL LL),DOROTEA,DOROTEA E,0,0,33,71,80,91,86,68,76,69
META,LLANOS ORIENTALES,CEPSA COLOMBIA S.A. - CEPCOLSA,CARACARA,ELIZITA,2037,2122,1990,1983,2043,1900,1939,1881,1846,1806
META,LLANOS ORIENTALES,ECOPETROL,CAÑO SUR E&P,EMBRUJO,0,0,0,0,0,344,231,198,189,171
CASANARE,LLANOS ORIENTALES,PETROLEOS SUD AMERCANOS,ENTRERIOS PETROSUD,ENTRERRIOS,720,1177,1301,1547,1353,1406,1112,1324,1400,1289
HUILA,VALLE SUPERIOR DEL MAGDALENA,ECOPETROL,CAGUAN ECOPETROL,ESPINO,14,9,17,16,15,17,18,18,19,22
CASANARE,LLANOS ORIENTALES,COLOMBIA ENERGY DEVELOPMENT,ALCARAVAN,ESTERO,120,121,124,126,127,127,127,27,74,87
META,LLANOS ORIENTALES,ECOPETROL,CAÑO SUR E&P,FAUNO,1154,1254,1341,1441,1513,1563,1556,1511,1504,1488
SANTANDER,VALLE MEDIO DEL MAGDALENA,Amerisur Exploración Colombia,E&P FENIX,FENIX,4,0,1,2,1,2,1,2,2,1
CASANARE,LLANOS ORIENTALES,NCT ENERGY GROUP,E&P LLANOS 27,FLAMI,216,204,184,202,204,176,154,175,79,0
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,PIEDEMONTE EQUION,FLOREÑA,2818,3008,3046,2878,2912,3104,3246,3506,3622,3542
CASANARE,LLANOS ORIENTALES,EQUION ENERGIA LIMITED,PIEDEMONTE EQUION,FLOREÑA MIRADOR,2558,2567,2087,2502,2379,2357,2341,2220,2636,2562
SANTANDER,VALLE MEDIO DEL MAGDALENA,PETROLEOS DEL NORTE S.A,E&P LA PALOMA,GAITERO,0,0,0,0,0,0,0,0,0,27
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,GALA,2878,2933,2782,2637,2605,2546,2550,2500,2340,2334
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,DE MARES,GALAN,658,627,656,690,681,677,665,675,649,659
SANTANDER,VALLE MEDIO DEL MAGDALENA,ECOPETROL,YARIGUI-GARZAS,GARZAS,421,430,406,387,387,383,365,355,358,357
